Allendale North,-34.303983,138.917658
Allens Rivulet,-43.01068,147.204063
Allenstown,-23.388939,150.502867
Allenview,-27.901257,152.939081
Allestree,-38.274855,141.646078
Allgomera,-30.816097,152.831369
Alligator Creek Mackay QLD,-21.323934,149.211059
Alligator Creek North QLD,-19.424915,146.947198
Allingham,-18.643978,146.164126
Allora,-28.035848,151.982723
Alloway,-24.952376,152.36214
Allworth,-32.541688,151.960927
Allynbrook,-32.363343,151.536229
Alma Park,-35.604129,146.791693
Alma VIC,-37.028805,143.676819
Alma WA,-28.233375,114.693575
Almaden,-17.340063,144.678134
Almonds,-36.232281,146.056216
Almurta,-38.434865,145.558415
Alonnah,-43.321476,147.242183
Aloomba,-17.11626,145.834863
Alpha,-23.649656,146.641074
Alphington,-37.780767,145.03116
Alpine,-34.409517,150.523957
Alpurrurulam,-20.9785,137.846391
Alsace,-23.275888,149.350507
Alstonvale,-28.805607,153.445477
Alstonville,-28.842125,153.44036
Alton Downs,-23.307182,150.388035
Altona Meadows,-37.871632,144.778084
Altona North,-37.842879,144.850049
Altona SA,-34.597167,138.91362
Altona VIC,-37.869275,144.830286
Alumy Creek,-29.64092,152.951448
Alva,-19.457502,147.481727
Alvie,-38.244321,143.481901
Amamoor Creek,-26.359522,152.563309
Amaroo ACT,-35.170334,149.125877
Amaroo NSW,-33.184094,148.928934
Amaroo QLD,-23.393865,139.673121
Amata,-25.962716,131.606872
Ambania,-28.695321,115.118798
Ambarvale,-34.080467,150.803644
Amber,-17.747312,144.31566
Ambergate,-33.711626,115.326277
Amberley,-27.640431,152.702399
Ambleside,-41.206124,146.372948
Ambrose,-23.785682,150.926796
Amelup,-34.238467,118.220878
American Beach,-35.776943,137.876499
American River,-35.773049,137.779956
American Samoa,-14.270972,-170.132217
Amherst,-37.146466,143.670166
Amiens,-28.583622,151.801093
Amity,-27.397888,153.439075
Amity Point,-27.396485,153.44014
Amoonguna,-23.747506,133.926632
Amor,-37.941242,146.399804
Amphitheatre,-37.182344,143.399915
Amyton,-32.603434,138.327394
Anakie QLD,-23.443402,147.727709
Anakie VIC,-37.896843,144.253862
Anama,-33.717096,138.553465
Anambah,-32.676068,151.495133
Ancona,-36.972266,145.790539
Andamooka,-30.449401,137.163989
Andergrove,-21.096937,149.185333
Anderleigh,-25.998421,152.673583
Anderson,-38.527605,145.446731
Andorra,42.546245,1.601554
Andover,-42.329996,147.460643
Andrews,-33.598997,138.631237
Andrews Farm,-34.671461,138.666778
Andromache,-20.584521,148.420002
Anduramba,-27.134613,152.085883
Anembo,-35.805448,149.42833
Angas Plains,-35.317169,138.997514
Angas Valley,-34.755133,139.306156
Angaston,-34.501149,139.046829
Angelo River,-24.078602,118.010422
Angip,-36.102371,142.224515
Angle Park,-34.859133,138.560673
Angle Vale,-34.641224,138.643948
Angledale,-36.63575,149.857154
Angledool,-29.113122,147.902562
Anglers Reach,-35.999196,148.664848
Anglers Rest,-37.019423,147.470661
Anglesea,-38.405129,144.189268
Angourie,-29.481012,153.359964
Anguilla,18.220554,-63.068615
Anketell,-32.227693,115.870492
Anna Bay,-32.776919,152.083274
Annadale,-34.389315,139.388418
Annandale NSW,-33.881435,151.170681
Annandale QLD,-19.317818,146.774576
Annangrove,-33.657772,150.943505
Annerley,-27.511609,153.031832
Angola,-11.202692,17.873887
Anniebrook,-33.664807,115.150875
Annuello,-34.847699,142.830117
Ansons Bay,-41.037887,148.26834
Anstead,-27.545591,152.87227
Antechamber Bay,-35.801741,138.072715
Anthony,-27.878177,152.684078
Antigua,-25.638213,152.602531
Antigua and Barbuda,17.060816,-61.796428
Antill Ponds,-42.204006,147.401352
Antonymyre,-20.663163,117.093371
Antwerp,-36.298418,142.024557
Apamurra,-34.855242,139.19677
Apoinga,-33.928076,138.937581
Apollo Bay TAS,-43.15912,147.296093
Apollo Bay VIC,-38.748434,143.670432
Appin NSW,-34.200891,150.787479
Appin Park,-36.353243,146.297244
Appin VIC,-35.878433,143.872782
Apple Tree Creek,-25.21521,152.233998
Apple Tree Flat,-32.685217,149.705047
Appleby,-30.964928,150.825148
Applecross,-32.0194,115.833223
